Race,Day,Date,Time,Activity Description,Tag,Highlight Meal
Bluff Bash,Friday,Sept 4,3:00 PM,Camping Opens,Venue,No
Bluff Bash,Saturday,Sept 5,8:00 AM - 4:00 PM,South Conference Racing Waves & Podiums,Spectating,No
Bluff Bash,Saturday,Sept 5,10:00 AM - 4:00 PM,North Conference Adventure Ride,Team Ride,No
Bluff Bash,Saturday,Sept 5,5:00 PM - 6:00 PM,Coaches Only Pre-Ride,Pre-Ride,No
Bluff Bash,Saturday,Sept 5,5:30 PM,LAXMTB Team Dinner,Team Event,Yes
Bluff Bash,Saturday,Sept 5,6:00 PM - 7:00 PM,Varsity / JV3 Only Pre-Ride,Pre-Ride,No
Bluff Bash,Sunday,Sept 6,7:00 AM - 8:00 AM,LAXMTB Team Breakfast,Team Event,Yes
Bluff Bash,Sunday,Sept 6,7:00 AM - 9:00 AM,Pre-Rides Open (Registered Riders & Coaches),Pre-Ride,No
Bluff Bash,Sunday,Sept 6,10:00 AM,Racing Starts (North Conference Waves),Racing,No
Bluff Bash,Sunday,Sept 6,4:30 PM,North Conference Awards & Season Opener Celebration,Awards,No
Bluff Bash,Monday,Sept 7,Morning,Camping Closes,Venue,No
Cable Conquest,Friday,Sept 11,1:00 PM - 6:00 PM,Pit Zone Setup Pre-Ride & CAMBA Trail Tour,Venue,No
Cable Conquest,Saturday,Sept 12,8:00 AM - 4:00 PM,South Conference Racing Waves,Spectating,No
Cable Conquest,Saturday,Sept 12,5:30 PM,LAXMTB Team Dinner,Team Event,Yes
Cable Conquest,Sunday,Sept 13,7:00 AM - 8:00 AM,LAXMTB Team Breakfast,Team Event,Yes
Cable Conquest,Sunday,Sept 13,7:00 AM - 9:00 AM,Course Pre-Ride,Pre-Ride,No
Cable Conquest,Sunday,Sept 13,10:00 AM,North Conference Racing Starts,Racing,No
Cable Conquest,Sunday,Sept 13,4:30 PM,Awards Ceremony,Awards,No
